phylum	subphylum	class	order	genus	AC	
Mucoromycota	Glomeromycotina	Glomeromycetes	Glomerales	Glomus	Glomus cerebriforme	NC_022144.1
Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Laccaria	Laccaria amethystina	NC_042772.1
Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Macrolepiota	Macrolepiota fuliginosa	NC_045202.1
Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Magnusiomyces	Magnusiomyces magnusii	NC_020043.1
Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Magnusiomyces	Magnusiomyces tetraspermus	NC_024094.1
Basidiomycota	Ustilaginomycotina	Malasseziomycetes	Malasseziales	Malassezia	Malassezia obtusa	KY911091.1
Basidiomycota	Ustilaginomycotina	Malasseziomycetes	Malasseziales	Malassezia	Malassezia yamatoensis	KY911098.1
Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Metarhizium	Metarhizium rileyi	NC_047289.1
Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Monilinia	Monilinia laxa	NC_051483.1
Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Moniliophthora	Moniliophthora perniciosa	NC_005927.1
Chytridiomycota	N/A	Monoblepharidomycetes	Monoblepharidales	Monoblepharella	Monoblepharella sp. JEL15	NC_004624.1
Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Nectria	Nectria cinnabarina	NC_030252.1
Cryptomycota	N/A	N/A	N/A	Paramicrosporidium	Paramicrosporidium saccamoebae	CM008827.1
Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Phanerochaete	Phanerochaete carnosa	MT090080.1
Basidiomycota	Agaricomycotina	Agaricomycetes	Hymenochaetales	Phellinus	Phellinus lamaoensis	NC_044677.1
Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Phycomyces	Phycomyces blakesleeanus	NC_027730.1
Ascomycota	Taphrinomycotina	Pneumocystidomycetes	N/A	Pneumocystis	Pneumocystis canis	MT726217.1
Ascomycota	Taphrinomycotina	Pneumocystidomycetes	N/A	Pneumocystis	Pneumocystis carinii	NC_013660.2
Ascomycota	Taphrinomycotina	Pneumocystidomycetes	N/A	Pneumocystis	Pneumocystis jirovecii	NC_020331.1
Ascomycota	Taphrinomycotina	Pneumocystidomycetes	N/A	Pneumocystis	Pneumocystis murina	NC_020332.1
Ascomycota	Taphrinomycotina	Pneumocystidomycetes	N/A	Pneumocystis	Pneumocystis oryctolagi	MT726213.1
Ascomycota	Taphrinomycotina	Pneumocystidomycetes	N/A	Pneumocystis	Pneumocystis sp. 'ludovicianus'	MT726212.1
Ascomycota	Taphrinomycotina	Pneumocystidomycetes	N/A	Pneumocystis	Pneumocystis sp. 'macacae'	MT726214.1
Ascomycota	Taphrinomycotina	Pneumocystidomycetes	N/A	Pneumocystis	Pneumocystis wakefieldiae	MT726211.1
Mucoromycota	Mortierellomycotina	Mortierellomycetes	Mortierellales	Podila	Podila verticillata	NC_006838.1
Mucoromycota	Glomeromycotina	Glomeromycetes	Glomerales	Rhizophagus	Rhizophagus fasciculatus	NC_029185.1
Mucoromycota	Glomeromycotina	Glomeromycetes	Glomerales	Rhizophagus	Rhizophagus irregularis	NC_014489.1
Mucoromycota	Glomeromycotina	Glomeromycetes	Glomerales	Rhizophagus	Rhizophagus sp. DAOM 213198	KF591216.1
Basidiomycota	Pucciniomycotina	Microbotryomycetes	Sporidiobolales	Rhodotorula	Rhodotorula mucilaginosa	NC_036340.1
Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Rhynchosporium	Rhynchosporium secalis	NC_023128.1
Cryptomycota	N/A	N/A	N/A	Rozella	Rozella allomycis	NC_021611.1
Basidiomycota	Agaricomycotina	Agaricomycetes	Hymenochaetales	Schizopora	Schizopora paradoxa	NC_044679.1
Ascomycota	Taphrinomycotina	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomyces	Schizosaccharomyces cryophilus	NC_040930.1
Ascomycota	Taphrinomycotina	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomyces	Schizosaccharomyces japonicus	NC_004332.1
Chytridiomycota	N/A	Chytridiomycetes	Spizellomycetales	Spizellomyces	Spizellomyces punctatus	NC_003052.1
Chytridiomycota	N/A	Chytridiomycetes	Spizellomycetales	Spizellomyces	Spizellomyces sp. 'palustris'	NC_042879.1
Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	Ustilaginales	Sporisorium	Sporisorium reilianum SRZ2	FQ311469.1
Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Taiwanofungus	Taiwanofungus camphoratus	NC_042771.1
Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tephrocybe	Tephrocybe rancida	NC_039442.1
Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Trametes	Trametes hirsuta	NC_037239.1
Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholoma	Tricholoma saponaceum	NC_046502.1
Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	Ustilaginales	Ustilago	Ustilago maydis	NC_008368.1
Zoopagomycota	Kickxellomycotina	Harpellomycetes	Harpellales	Zancudomyces	Zancudomyces culisetae	NC_006837.1
